"","title","writer","written","rating","word","sentiment"
"346","Ground floor open only.","Clivey57","Oct 2020",4,"disappointed","sadness"
"347","Ground floor open only.","Clivey57","Oct 2020",4,"visit","positive"
"348","Ground floor open only.","Clivey57","Oct 2020",4,"system","trust"
"349","Ground floor open only.","Clivey57","Oct 2020",4,"start","anticipation"
"350","Ground floor open only.","Clivey57","Oct 2020",4,"spent","negative"
"351","Ground floor open only.","Clivey57","Oct 2020",4,"ground","trust"
"352","Ground floor open only.","Clivey57","Oct 2020",4,"break","surprise"
"353","Ground floor open only.","Clivey57","Oct 2020",4,"ground","trust"
"354","Tantra exhibition","Robert D","Oct 2020",1,"nose","disgust"
"355","Tantra exhibition","Robert D","Oct 2020",1,"hot","anger"
"356","Tantra exhibition","Robert D","Oct 2020",1,"safe","joy"
"357","Tantra exhibition","Robert D","Oct 2020",1,"safe","positive"
"358","Tantra exhibition","Robert D","Oct 2020",1,"safe","trust"
"359","Tantra exhibition","Robert D","Oct 2020",1,"avoid","fear"
"360","Tantra exhibition","Robert D","Oct 2020",1,"avoid","negative"
"361","Tantra exhibition","Robert D","Oct 2020",1,"time","anticipation"
"362","4000BC and all that","DCT","Oct 2020",5,"arrive","anticipation"
"363","4000BC and all that","DCT","Oct 2020",5,"time","anticipation"
"364","4000BC and all that","DCT","Oct 2020",5,"ground","trust"
"365","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"visit","positive"
"366","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"rule","fear"
"367","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"rule","trust"
"368","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"special","joy"
"369","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"special","positive"
"370","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"love","joy"
"371","Sure problems with who owns artefacts but the collection is amazing","Cinio","Oct 2020",5,"love","positive"
"372","Peace in the British Museum","0art","Oct 2020",5,"excellent","joy"
"373","Peace in the British Museum","0art","Oct 2020",5,"excellent","positive"
"374","Peace in the British Museum","0art","Oct 2020",5,"excellent","trust"
"375","Peace in the British Museum","0art","Oct 2020",5,"time","anticipation"
"376","Peace in the British Museum","0art","Oct 2020",5,"visit","positive"
